nodeId,labels,p0,p1,p2,p3,p4
0,L4,,3.292683453006752e+18,1.8365108121308431e+18,501782808994156624,6.580487097294539e+18
1,L3,,1.0823192208000321e+18,-8.728220035977609e+17,-4687844783364194238,
2,L2,-4.820614587540078e+17,-1.719014829185361e+18,-1.630596901296672e+17,-2214598060828800617,
3,L4,,,-7.591096189860319e+17,3917013273776915864,7.172370180952243e+17
4,L1,8.732418599993683e+17,1.0605988472890107e+18,-5.06289922812865e+16,5294176595562328360,8.896742067776997e+18
5,L3,,,,5422877740400451140,-6.966041593952377e+18
6,L4,3.0580597951911967e+18,8.302518476400163e+18,5.4691398232628077e+17,2717392561934056641,-9.059503643427304e+17
7,L4,2.582920822652812e+18,-2.406692545789415e+18,-7.593662258897455e+17,-4437713789519580725,4.377101590542614e+17
8,L1,2.2874449351350367e+18,-3.1240600891040333e+18,-4.851923172098122e+18,861530064502512594,-5.579645457653859e+18
9,L2,1.1287479030301228e+18,-4.297468377174002e+17,1.4481275449832084e+18,7283478200147335783,-2.674138107845519e+18
