sourceNodeId,targetNodeId,relationshipType,edgeId,q0,q1,q2,q3,q4
11,15,T1,0,,-1.5702555744766934e+17,1.9913439141170632e+18,1.3241029077417354e+18,1.3097010891043638e+18
0,21,T1,1,-1.6056844531530022e+18,1.4507202239356317e+17,4.780303403777652e+18,-5.509278572262587e+18,
8,28,T2,2,1.7361247764062572e+18,4.962845213440821e+17,-9.258263516914252e+17,4.5003813116745057e+18,-3.6263008076011464e+18
12,12,T3,3,,,-8.982631912320795e+18,-4.3069350272328515e+18,
9,10,T4,4,8.539624956581028e+17,3.822357735696801e+18,2.994727683226017e+18,4.834985672860969e+17,6.708453772148457e+18
3,26,T2,5,2.3112103722391634e+18,-6.081285904550867e+17,-2.549221734355913e+18,1.0824095419429967e+18,1.637179022182339e+18
7,21,T0,6,,-6.27824491648585e+17,-7.28295001328536e+18,-1.753666814598668e+18,
11,29,T3,7,-3.1122583994013834e+18,4.796365765891968e+18,8.573873024257391e+18,,7.151595289024721e+18
1,14,T3,8,,2.8401709768667924e+18,7.90388282229016e+18,1.4942931434003254e+18,-4.6767986974905e+18
14,22,T0,9,1095023768813173.5,-4.471280097258288e+17,7.603176815697482e+18,1.1154676741392771e+17,
10,13,T1,10,,-1.6097940847976138e+18,,,-2.2955484234162245e+18
3,21,T0,11,1.0677958649610886e+18,,,-4.196901797365301e+18,4.6234215758506874e+17
5,28,T3,12,,-5.283978400329538e+18,,,6.83588993883958e+18
10,25,T3,13,-5.82619349095733e+18,-4.516120272629441e+17,-8.305350901184025e+18,,9.156543593187261e+18
8,14,T1,14,1.2248416961018348e+18,-3.9038427499537126e+18,-3.8575136097047926e+18,-4.2292664793121874e+18,-7.573437524961084e+18
11,15,T3,15,-5.183288428636487e+18,2.5400287029712625e+18,,7.569016946200287e+18,5.157105680152201e+18
13,18,T2,16,2.65727609414357e+18,,-8.373654338839244e+18,1.1052892095249279e+18,-7.79039682151496e+18
13,20,T4,17,3.867308739444574e+17,-1.4387233693908685e+18,2.606909566390914e+18,-2.3419921453017046e+17,
6,29,T1,18,3.7923014630576097e+18,-2.0854732361289554e+18,,,-6.806323638833514e+18
12,14,T3,19,1.679357052265498e+18,2.2735268624017938e+18,,3.0665498427026826e+18,-4.472159221057369e+18
3,21,T2,20,3.24067320503689e+17,-4.312147853403657e+18,-1.9348748026152044e+18,5.919137299352753e+17,-8.301218730207724e+18
2,21,T1,21,-5.153047242532008e+18,1.4515168059512724e+18,8.303659784730104e+18,-1.2237288468790794e+18,5.968236145860342e+18
0,20,T0,22,-4.308298055797029e+17,3.320609276412591e+18,,-1.4035455275860163e+18,-1.0875590536112009e+18
4,4,T2,23,4.3535441526588093e+18,8.549845854290113e+18,,-9.205687705100838e+17,
24,29,T0,24,-4.910073408650123e+18,5.431870822881645e+18,-5.507815925015132e+18,-1.628571067271648e+18,
10,19,T4,25,-5.5124055161908e+18,-2.8227829798930104e+18,1.4076766161703035e+18,4.3559415508910433e+18,1.397057709792055e+17
0,28,T1,26,-2.7330037757932493e+18,1.7030667232600272e+17,7.998595871278121e+17,1.6146317352155753e+18,
9,17,T4,27,-4.033541415203416e+17,-1.4312962333365647e+18,-4.884713836835145e+18,,
15,21,T4,28,7.831670017288603e+17,-8.590273203371501e+17,,3.068420465331034e+18,-3.902809332137678e+18
21,24,T1,29,,1.9855701782535713e+18,,5.041367679703812e+18,4.520420230673938e+18
