sourceNodeId,targetNodeId,relationshipType,edgeId,q0,q1,q2,q3,q4
2,6,T0,0,1.23585807839343e+18,-4.553612378322544e+17,-6.285424201238989e+18,,-6.704407082073239e+18
1,9,T2,1,1.9592822078064963e+18,-7.301800136027741e+17,-7.343905049290529e+18,1.8722711166474094e+18,1.2566542734838344e+18
3,4,T1,2,-6.141624632779929e+18,,1.0359896532139686e+18,4.3269365215459287e+18,
0,5,T2,3,2.5390446217235635e+18,-1.8319682862998802e+18,-5.325825619648694e+18,,2.2559716756037855e+18
7,7,T3,4,-5.907158884020919e+18,,-4.761236291327661e+17,-2.4153670846751524e+18,1.293558079633205e+18
3,3,T2,5,7.143387017629677e+17,-3.293317919232278e+18,-7.028322496014696e+18,7.24336880365434e+16,4.790280691580064e+18
0,1,T0,6,-3.597125922586835e+18,,-4.162453660908754e+18,,6.472138401443616e+17
0,3,T2,7,-2.7916514991417216e+18,-1.1888067746805312e+18,7.261843059102183e+18,-1.5260938961507525e+18,-1.3455236537328315e+18
6,7,T4,8,8.16368188715103e+18,,,,
0,1,T2,9,6.246150988127715e+18,6.918599919289823e+18,-3.588658079631249e+18,-1.1456717548028292e+18,3.4187004737722614e+18
1,4,T3,10,3.0381704904893834e+18,1.6827842876330621e+18,2.0468963535285015e+18,-3.201539137131676e+17,
3,8,T0,11,,-2.459288990761209e+18,,1.0140833039602819e+18,
1,8,T1,12,,9.28528865266846e+17,,7.744483101057478e+18,-1.6899756077484275e+18
6,6,T1,13,2.976617611380239e+18,2.4534885205759503e+18,-6.927671020179823e+18,1.5999618643954742e+18,-5.762803415703322e+18
2,4,T1,14,,,-5.711573940786433e+18,-4.381005594245417e+18,1.0452935729702501e+18
1,4,T3,15,-8.502252070783828e+17,5.589951357235749e+18,-5.994905484079985e+18,-1.575802328342946e+18,
0,8,T2,16,-8.360257941615997e+18,3.9257720607126743e+18,-3.3812597368887675e+18,8.804566936462058e+17,5.433466504762073e+18
1,9,T4,17,,-2.1453818057519178e+18,,-1.1467278051532877e+18,3.193183867829737e+18
1,9,T1,18,-7.754537289077806e+18,,,8.978309904371016e+17,-4.519097787732224e+18
0,0,T4,19,2.495421322355762e+18,-1.1520022441189756e+18,6.121683190809934e+18,-4.452230809082202e+18,
6,8,T3,20,-4.1119224022820096e+17,,-2.590797396220198e+18,-4.5633227885787686e+17,5.549258602766505e+18
4,7,T0,21,,2.0103671756147553e+18,-7.99267270478702e+18,-5.242088016583792e+18,-1.4805874703813524e+18
6,8,T2,22,5.147188933182853e+18,1.0341399472602104e+18,,,-4.517173586611761e+17
0,8,T4,23,-7.80958742273898e+18,-2.480701973103054e+18,1.5725138139942095e+18,,-6.873169950338201e+18
2,8,T4,24,2.7744284765951483e+18,7.027485462891357e+17,1.8023600673227569e+18,,
0,9,T0,25,8.58986949544962e+18,2.843581485188447e+17,,5.654670448911431e+17,
0,0,T3,26,,7.768365911064583e+18,-7.226894186053462e+18,,-1.8299619819542508e+18
1,7,T2,27,,,,-2.4031222402624144e+16,
3,7,T3,28,,4.4045708098700646e+17,-3.570099460847956e+18,-3.6974490668609286e+17,5.176904448969566e+18
2,5,T0,29,2.444412950497805e+18,,-2.400394521222063e+18,4.057302959537313e+18,2.690023244202812e+18
