nodeId,labels,p0,p1,p2,p3,p4
0,L1,7.287595161039067e+17,-4.615389929223771e+16,2.7419728145693738e+17,,-4.522430872895153e+17
1,L4,,1.3768424009068867e+17,3.1050866883914225e+18,-7.71121104587416e+16,5.630012075244695e+18
2,L2,1.36065560578227e+18,3.353766060783133e+18,5.713545919768801e+17,-2.7665944535507066e+17,6.961378819666086e+17
3,L1,-1.995133836341318e+18,,1.6464110507335176e+18,5.6515993758462336e+17,1.0562402807695158e+18
4,L1,-1.7029813655596938e+18,7.147984247785053e+17,2.6588542296850703e+18,,4.519401954808375e+18
5,L0,3.645291725436038e+18,-5.205267723145149e+18,-1.6831613763570924e+18,,5.437937444693866e+18
6,L0,1.1796407208551906e+17,-4.5008406817356477e+18,,-8.351938867090615e+18,2.8044690181200618e+17
7,L2,1.5206113908729998e+16,-2.4126084894102615e+18,-2.4505854304416435e+17,-1.7755770841407608e+18,
8,L0,-4.91148916340029e+17,6.483305026251898e+17,,1.205876090867875e+17,
9,L1,,-2.1954302048051418e+18,,-9.875692139517137e+17,3.7978921752800855e+18
