sourceNodeId,targetNodeId,relationshipType,edgeId,q0,q1,q2,q3,q4
5,7,T3,0,1.9764576921899908e+16,1.9296314772441784e+16,,4.73391978796801e+16,4.746306591687848e+18
1,5,T1,1,-2.6690322765700598e+17,6.139139330239269e+18,-3.3877956358374267e+18,,-4.830879870955382e+18
6,8,T3,2,-7.107150869209459e+17,,5.252508965266746e+18,-4.9905356117262246e+17,7.149668104439156e+17
0,7,T0,3,2.560171938907639e+18,-2.9762226033669755e+18,,,2.8755418396632684e+18
2,6,T0,4,1.0652889015882948e+18,,-6.515531400969781e+18,6.007171730130136e+17,4.174754427692306e+18
1,3,T0,5,-3.101327998629311e+18,,8.10609168809611e+18,-4.531964543984466e+17,1.1422165677879085e+17
3,6,T0,6,,4.070605420327007e+18,,1.0567798000519269e+17,-9.424020341235924e+17
8,9,T0,7,-1.494333244850635e+17,3.94804009544128e+18,,,-5.7350848750585715e+17
0,2,T3,8,-6.125161288251964e+17,,9.097512782039465e+18,-4.085022311535311e+17,
1,5,T0,9,,-2.7821915752235075e+18,-1.1766026081437038e+17,-4.693575904816027e+18,1.486239528145927e+18
1,4,T4,10,,5.397306207707887e+18,2.3522766742189366e+17,-1.0952475584691862e+18,-1.2740857802753795e+18
1,9,T0,11,-1.0251070993371715e+17,7.732184054490941e+18,,4.2425281453810043e+18,-1.670906217293095e+18
4,9,T1,12,-2.47157759484768e+18,-2.4133426219924326e+18,6.966556172697259e+18,,3.508822504642217e+16
1,9,T0,13,,,,4.886223059828819e+18,3.5692960806053187e+18
2,4,T3,14,3.6075680802161597e+18,-7.843077013898007e+18,6.015456806794546e+18,1.5623717326299643e+18,-5.079094591575519e+18
1,1,T4,15,-5.190914417338327e+18,,7.838304698173952e+18,-5.92918399936625e+18,-1.7456631618484243e+17
2,8,T4,16,,3.771711534277468e+17,7.355344734104188e+18,-6.508873074563284e+17,-2.2552333932573827e+18
2,3,T0,17,,,,6.334752440449987e+18,-1.063101399778609e+18
0,0,T2,18,,-1.5621765889420242e+18,1.4434380718521142e+18,,
6,9,T2,19,-9.587029640120838e+16,,-1.7335639646286513e+18,,
7,9,T3,20,2.379963156476189e+18,-4.4724945313365673e+18,-9.206864730795736e+18,,
7,9,T0,21,,,-5.092332262617312e+18,,2.280674676036104e+18
0,1,T4,22,-7.12992331085531e+17,-7.392056437370914e+18,-8.202134555494155e+18,6.323764351989993e+17,
0,7,T4,23,-2.374834052849106e+18,5.261583714156018e+18,,6.777845980781399e+17,
5,7,T3,24,,-6.314180417686837e+18,3.942670366730199e+18,-4.4685540124405243e+18,5.073652612366704e+18
2,8,T2,25,,-2.997367945848583e+18,,,
5,8,T2,26,1.1507258064986491e+17,-7.786167775865739e+18,-6.355824442734366e+18,-3.0948319141956475e+18,-8.422282989875261e+17
0,8,T2,27,7.64411742330783e+18,,-3.038400320221925e+18,,3.5870993895477843e+17
7,8,T0,28,8.994549648001244e+17,-2.9652294610164603e+18,5.745950056181668e+18,-2.737289572273169e+18,-4.8592915250448934e+17
0,9,T1,29,8.378559026680263e+18,,9.120094056069458e+18,-6.822252823443748e+17,4.975998914551761e+18
