nodeId,labels,p0,p1,p2,p3,p4
0,L2,3.699783767396365e+16,,-8.744821476424522e+18,8.903391808893496e+18,1.0341788367571122e+17
1,L0,3.0427414494669757e+18,,-5.082998864423231e+18,-7.165207250925079e+18,5.8566484493389096e+16
2,L2,2.2293543766995098e+18,7.115126488169543e+18,,8.550611849466488e+18,-2.5241993615664476e+18
3,L4,7.051544940088295e+16,,-2.6549798911708396e+18,,-6.260687411345505e+18
4,L0,,,,-8.318895525570597e+18,
5,L1,-2.282296886643111e+17,-1.0434074219291212e+18,-4.692930436399439e+18,-3.992767915191163e+17,-2.1358893618777608e+18
6,L3,3.0049225750795546e+17,-9.065876227464132e+18,,,
7,L0,,-7.595434271044274e+18,,,
8,L3,-5.450430658697953e+18,-2.5692459411537567e+18,-2.2093532579801152e+18,-7.045363798163667e+18,
9,L3,-2.7258683808100813e+18,-3.674520175761557e+18,,7.571359982545169e+18,-2.849156365897011e+17
